Speed_20,Dir_20,Hum,SR,Press,TempK,PTheo
0.7387,297.46,61.207,179.33,782.93,301.001,45.47314083333333
1.2088,293.03,60.382,188.25,783.45,301.211,121.76645333333335
1.1127,293.51,59.606,185.23,782.56,300.952,103.1751075
0.8079,295.6,58.784,175.59,782.68,300.939,54.3918675
0.719,291.33,57.608,185.61,784.22,300.941,43.080083333333334
1.1368,294.99,57.104,174.29,784.09,300.906,107.69285333333333
0.8974,291.75,58.418,182.01,783.26,301.391,67.11056333333333
0.7819,292.21,59.892,193.11,783.26,302.352,50.94730083333335
1.3289,291.45,61.534,200.35,783.26,302.486,147.16460083333334
2.1137,300.88,54.925,376.72,782.8,304.361,372.3106408333333
2.0777,307.34,54.224,410.12,783.17,304.392,359.73644083333335
1.4643,306.96,53.659,396.81,783.56,304.383,178.6812075
1.552,304.21,51.121,465.6,782.14,303.989,200.72533333333334
1.6432,299.76,44.971,392.68,782.62,303.666,225.00885333333335
2.231,300.82,43.194,362.06,782.64,303.417,414.7800833333333
2.5039,296.21,44.202,382.77,782.12,303.217,522.4596008333332
3.1034,296.37,43.45,389.8,781.76,302.776,802.5909633333333
2.3427,294.55,42.369,377.63,782.81,302.654,457.3536074999999
1.2469,293.78,42.405,394.83,782.67,302.646,129.5633008333333
1.3338,294.03,42.454,422.46,782.46,302.5,148.25187
1.5717,291.84,42.253,468.95,782.85,302.48,205.8534075
1.5246,331.45,44.4,610.18,781.94,304.544,193.70042999999995
2.4633,323.12,36.03,622.12,782.52,304.934,505.65390750000006
2.7761,328.06,36.268,629.25,782.87,304.966,642.2276008333334
3.1165,308.06,36.8,659.85,782.75,304.924,809.3810208333334
3.5206,312.13,38.35,504.23,783.05,304.918,1032.8853633333333
2.4386,322.25,37.362,440.95,783.34,305.945,495.5641633333333
2.135,318.3,38.595,412.1,782.74,305.869,379.8520833333333
1.5086,311.22,39.727,399.63,782.98,305.809,189.6561633333333
1.4469,302.75,39.724,461.48,782.65,306.156,174.45996749999998
1.2466,305.97,39.198,437.11,782.47,306.097,129.50096333333332
1.3529,303.92,37.67,423.67,782.59,307.789,152.52820083333333
1.4531,313.07,37.303,313.71,782.68,306.736,175.95830083333337
1.4756,320.33,33.759,522.14,782.27,308.695,181.44961333333333
1.5666,302.79,32.872,620.4,782.7,309.097,204.51963
1.5182,299.59,31.815,602.89,782.88,309.35,192.07760333333331
